Date,000001.SS,Bovespa (Brazil),FTSE 100 (UK),S&P 500 (USA),Nikkei 225 (Japan),NIFTY 50 (India)
2000-12-15,2039.364013671875,14988.0,6175.7998046875,1312.1500244140625,14552.2900390625,4494.64990234375
2000-12-18,2044.5450439453125,15083.0,6246.5,1322.739990234375,14483.900390625,4494.64990234375
2000-12-19,2049.031982421875,15336.0,6295.0,1305.5999755859375,14132.3701171875,4494.64990234375
2000-12-20,2071.26806640625,14622.0,6176.7001953125,1264.739990234375,13914.4296875,4494.64990234375
2000-12-21,2076.885986328125,14505.0,6115.5,1274.8599853515625,13423.2099609375,4494.64990234375
2000-12-22,2069.76806640625,14652.0,6097.5,1305.949951171875,13427.080078125,4494.64990234375
2000-12-25,2069.76806640625,14652.0,6097.5,1305.949951171875,13931.6103515625,4494.64990234375
2000-12-26,2076.26611328125,14795.0,6097.5,1315.18994140625,14007.849609375,4494.64990234375
2000-12-27,2058.243896484375,15186.0,6218.2001953125,1328.9200439453125,13981.490234375,4494.64990234375
2000-12-28,2053.7041015625,15259.0,6223.2001953125,1334.219970703125,13946.9599609375,4494.64990234375
2000-12-29,2073.47705078125,15259.0,6222.5,1320.280029296875,13785.6904296875,4494.64990234375
2001-01-02,2103.468994140625,15425.0,6174.7001953125,1283.27001953125,13785.6904296875,4494.64990234375
2001-01-03,2123.89892578125,16599.0,6039.89990234375,1347.56005859375,13785.6904296875,4494.64990234375
2001-01-04,2117.405029296875,16675.0,6185.60009765625,1333.3399658203125,13691.490234375,4494.64990234375
2001-01-05,2125.300048828125,16410.0,6198.10009765625,1298.3499755859375,13867.6103515625,4494.64990234375
2001-01-08,2102.06396484375,16562.0,6149.60009765625,1295.8599853515625,13867.6103515625,4494.64990234375
